Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],Country
2015,YR2015,Lesotho,LSO,2359686724.53829,lesotho
2015,YR2015,Liberia,LBR,3227075700.0,liberia
2015,YR2015,Libya,LBY,48717501321.3052,libya
2015,YR2015,Liechtenstein,LIE,6268515276.17441,liechtenstein
2015,YR2015,Lithuania,LTU,41435533340.3883,lithuania
2015,YR2015,Luxembourg,LUX,60071584216.1375,luxembourg
2015,YR2015,"Macao SAR, China",MAC,45048190598.3249,"macao sar, china"
2015,YR2015,Madagascar,MDG,11323020701.3017,madagascar
2015,YR2015,Malawi,MWI,9219474379.31534,malawi
2015,YR2015,Malaysia,MYS,301355266964.947,malaysia
2015,YR2015,Maldives,MDV,4129505319.12921,maldives
2015,YR2015,Mali,MLI,13104764378.326,mali
2015,YR2015,Malta,MLT,11091483659.6156,malta
2015,YR2015,Marshall Islands,MHL,183222930.908203,marshall islands
2015,YR2015,Mauritania,MRT,6166863896.68677,mauritania
2015,YR2015,Mauritius,MUS,12007291045.6489,mauritius
2015,YR2015,Mexico,MEX,1213294467716.88,mexico
2015,YR2015,"Micronesia, Fed. Sts.",FSM,316489900.0,"micronesia, fed. sts."
2015,YR2015,Moldova,MDA,7797667196.73087,moldova
2015,YR2015,Monaco,MCO,6261649890.82388,monaco
2015,YR2015,Mongolia,MNG,11619892590.6941,mongolia
2015,YR2015,Montenegro,MNE,4054730077.57718,montenegro
2015,YR2015,Morocco,MAR,110413823841.592,morocco
2015,YR2015,Mozambique,MOZ,16208985769.615,mozambique
2015,YR2015,Myanmar,MMR,59607290407.6191,myanmar
2015,YR2015,Namibia,NAM,11335161083.5061,namibia
2015,YR2015,Nepal,NPL,24360801286.7638,nepal
2015,YR2015,Netherlands,NLD,765572770634.375,netherlands
2015,YR2015,New Caledonia,NCL,8738203074.3957,new caledonia
2015,YR2015,New Zealand,NZL,178104220784.881,new zealand
2015,YR2015,Nicaragua,NIC,12756706583.3113,nicaragua
2015,YR2015,Niger,NER,9683867926.44282,niger
