Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD]
2015,YR2015,Malta,MLT,11091483659.6156
2015,YR2015,Marshall Islands,MHL,183222930.908203
2015,YR2015,Mauritania,MRT,6166863896.68677
2015,YR2015,Mauritius,MUS,12007291045.6489
2015,YR2015,Mexico,MEX,1213294467716.88
2015,YR2015,"Micronesia, Fed. Sts.",FSM,316489900
2015,YR2015,Moldova,MDA,7797667196.73087
2015,YR2015,Monaco,MCO,6261649890.82388
2015,YR2015,Mongolia,MNG,11619892590.6941
2015,YR2015,Montenegro,MNE,4054730077.57718
2015,YR2015,Morocco,MAR,110413823841.592
2015,YR2015,Mozambique,MOZ,16208985769.615
2015,YR2015,Myanmar,MMR,59607290407.6191
2015,YR2015,Namibia,NAM,11335161083.5061
2015,YR2015,Nauru,NRU,84863440.5801997
2015,YR2015,Nepal,NPL,24360801286.7638
2015,YR2015,Netherlands,NLD,765572770634.375
2015,YR2015,New Caledonia,NCL,8738203074.3957
2015,YR2015,New Zealand,NZL,178104220784.881
2015,YR2015,Nicaragua,NIC,12756706583.3113
2015,YR2015,Niger,NER,9683867926.44282
2015,YR2015,Nigeria,NGA,493026682800.63
2015,YR2015,North Macedonia,MKD,10064519962.5655
2015,YR2015,Northern Mariana Islands,MNP,910000000
2015,YR2015,Norway,NOR,388159512245.53
2015,YR2015,Oman,OMN,78710793237.9714
2015,YR2015,Pakistan,PAK,299963590534.773
2015,YR2015,Palau,PLW,287215972.900391
2015,YR2015,Panama,PAN,54091800000
2015,YR2015,Papua New Guinea,PNG,21723437010.0982
2015,YR2015,Paraguay,PRY,36211447840.0971
2015,YR2015,Peru,PER,189802976285.619
2015,YR2015,Philippines,PHL,306445871246.718
2015,YR2015,Poland,POL,477111287969.227
2015,YR2015,Portugal,PRT,199394066525.44
2015,YR2015,Puerto Rico,PRI,103375500000
2015,YR2015,Qatar,QAT,161739955576.923
2015,YR2015,Romania,ROU,177883883008.747
2015,YR2015,Russian Federation,RUS,1363482182197.71
2015,YR2015,Rwanda,RWA,8543759088.57783
2015,YR2015,Samoa,WSM,824150498.653536
2015,YR2015,San Marino,SMR,1419400403.82788
2015,YR2015,Sao Tome and Principe,STP,259999643.047388
2015,YR2015,Saudi Arabia,SAU,669484266666.667
2015,YR2015,Senegal,SEN,17774766696.1759
