Time,Time Code,Country Name,Country Code,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage
2015,YR2015,Israel,ISR,512100.1521,18987.48,4%
2015,YR2015,Italy,ITA,4714561.631,778697.1,17%
2015,YR2015,Jamaica,JAM,82139.19635,13776.31,17%
2015,YR2015,Japan,JPN,10559777.56,664986.9,6%
2015,YR2015,Jordan,JOR,229180.994,7400.644,3%
2015,YR2015,Kazakhstan,KAZ,1586534.855,24725.24,2%
2015,YR2015,Kenya,KEN,655000.7859,475941.6,73%
2015,YR2015,Kiribati,KIR,605.3605527,25.75203,4%
2015,YR2015,"Korea, Dem. Rep.",PRK,275615.7042,63731.34,23%
2015,YR2015,"Korea, Rep.",KOR,5312174.577,143837.9,3%
2015,YR2015,Kosovo,XKX,55849.10684,11421.65,20%
2015,YR2015,Kuwait,KWT,616547.205,0,0%
2015,YR2015,Kyrgyz Republic,KGZ,139850.3825,32594.68,23%
2015,YR2015,Lao PDR,LAO,122192.697,72479.65,59%
2015,YR2015,Latvia,LVA,154231.4125,58759.11,38%
2015,YR2015,Lebanon,LBN,202341.1358,7378.814,4%
2015,YR2015,Lesotho,LSO,55693.27226,29038.03,52%
2015,YR2015,Liberia,LBR,82192.82071,68916.25,84%
2015,YR2015,Libya,LBY,322939.9001,6350.789,2%
2015,YR2015,Liechtenstein,LIE,2873.642276,1814.258,63%
2015,YR2015,Lithuania,LTU,199779.9865,57858.64,29%
2015,YR2015,Luxembourg,LUX,148287.2869,13392.29,9%
2015,YR2015,"Macao SAR, China",MAC,34125.7,2406.327,7%
2015,YR2015,"Macedonia, FYR",MKD,77984.63471,18886.42,24%
2015,YR2015,Madagascar,MDG,131031.3151,91950.46,70%
2015,YR2015,Malawi,MWI,60637.54141,50722.96,84%
2015,YR2015,Malaysia,MYS,1911611.656,99297.57,5%
2015,YR2015,Maldives,MDV,15870.54697,160.2282,1%
2015,YR2015,Mali,MLI,77716.7778,47816.79,62%
2015,YR2015,Malta,MLT,19161.30888,1026.089,5%
2015,YR2015,Marshall Islands,MHL,1662.684,185.6301,11%
2015,YR2015,Martinique,MTQ,17907.10846,438.3959,2%
2015,YR2015,Mauritania,MRT,41714.4538,13415.19,32%
2015,YR2015,Mauritius,MUS,33474.93138,3862.124,12%
2015,YR2015,Mayotte,MYT,3248.9877,332.8133,10%
2015,YR2015,Mexico,MEX,4793389.78,441721.1,9%
2015,YR2015,"Micronesia, Fed. Sts.",FSM,1651.817805,19.75967,1%
2015,YR2015,Moldova,MDA,96135.83622,13722.13,14%
2015,YR2015,Monaco,MCO,0,0,#DIV/0!
2015,YR2015,Mongolia,MNG,130283.4189,4468.379,3%
2015,YR2015,Montenegro,MNE,27696.89617,11910.79,43%
2015,YR2015,Montserrat,MSR,593.2684,0,0%
2015,YR2015,Morocco,MAR,604023.2721,68360.09,11%
2015,YR2015,Mozambique,MOZ,435993.381,376700.5,86%
2015,YR2015,Myanmar,MMR,731366.0082,449993.5,62%
2015,YR2015,Namibia,NAM,71287.30382,18868.63,26%
2015,YR2015,Nepal,NPL,483589.677,412327.7,85%
2015,YR2015,Netherlands,NLD,1823259.583,107380.2,6%
2015,YR2015,Netherlands Antilles,ANT,..,..,#VALUE!
2015,YR2015,New Caledonia,NCL,33328.6252,1586.183,5%
2015,YR2015,New Zealand,NZL,530286.6902,163270.9,31%
2015,YR2015,Nicaragua,NIC,103807.4355,50040.28,48%
2015,YR2015,Niger,NER,113793.6234,89828.49,79%
2015,YR2015,Nigeria,NGA,4987286.894,4320767,87%
2015,YR2015,Northern Mariana Islands,MNP,1203.12,0,0%
2015,YR2015,Norway,NOR,756219.7741,436883.3,58%
2015,YR2015,Oman,OMN,753718.831,0,0%
2015,YR2015,Pakistan,PAK,3111795.097,1446248,46%
2015,YR2015,Palau,PLW,2291.5,0,0%
2015,YR2015,Panama,PAN,144680.275,30721.63,21%
2015,YR2015,Papua New Guinea,PNG,115716.2284,60749.46,52%
2015,YR2015,Paraguay,PRY,204860.5008,126351.8,62%
2015,YR2015,Peru,PER,738633.5394,188380.4,26%
2015,YR2015,Philippines,PHL,1195481.371,328178.1,27%
2015,YR2015,Poland,POL,2537766.018,302285.7,12%
2015,YR2015,Portugal,PRT,625305.572,169816.1,27%
2015,YR2015,Puerto Rico,PRI,62946,1156.599,2%
2015,YR2015,Qatar,QAT,578356.1365,0,0%
2015,YR2015,Reunion,REU,39849.13407,6967.792,17%
2015,YR2015,Romania,ROU,893623.6838,211769.1,24%
2015,YR2015,Russian Federation,RUS,15809140.43,522370.1,3%
2015,YR2015,Rwanda,RWA,79544.51823,68929.6,87%
2015,YR2015,Saint Pierre et Miquelon,SPM,738.741,8.298344,1%
2015,YR2015,Samoa,WSM,4146.637665,1423.329,34%
2015,YR2015,San Marino,SMR,0,0,#DIV/0!
2015,YR2015,Sao Tome and Principe,STP,1955.125,802.6961,41%
2015,YR2015,Saudi Arabia,SAU,4773763.695,285.306,0%
2015,YR2015,Senegal,SEN,114203.5111,48778.32,43%
2015,YR2015,Serbia,SRB,330294.2237,69936.12,21%
2015,YR2015,Seychelles,SYC,4277.6051,57.87324,1%
2015,YR2015,Sierra Leone,SLE,54796.5927,42555.34,78%
2015,YR2015,Singapore,SGP,439604.8309,3115.195,1%
2015,YR2015,Sint Maarten (Dutch part),SXM,8338.3635,3.8635,0%
2015,YR2015,Slovak Republic,SVK,376732.2415,50516.66,13%
2015,YR2015,Slovenia,SVN,195249.1571,40762.94,21%
2015,YR2015,Solomon Islands,SLB,5078.3015,3214.943,63%
2015,YR2015,Somalia,SOM,104906.4283,98912.04,94%
2015,YR2015,South Africa,ZAF,2942891.797,504710.1,17%
2015,YR2015,South Sudan,SSD,17653.6422,6898.052,39%
2015,YR2015,Spain,ESP,3159454.362,513540.8,16%
2015,YR2015,Sri Lanka,LKA,414835.5546,219348,53%
2015,YR2015,St. Helena,SHN,98.4956,12.408,13%
2015,YR2015,St. Kitts and Nevis,KNA,1855.6128,30.47271,2%
2015,YR2015,St. Lucia,LCA,3812.98052,81.31652,2%
2015,YR2015,St. Martin (French part),MAF,0,0,#DIV/0!
2015,YR2015,St. Vincent and the Grenadines,VCT,2427.773,140.9913,6%
2015,YR2015,Sudan,SDN,436080.0059,268611.1,62%
2015,YR2015,Suriname,SUR,25154.67121,6266.811,25%
2015,YR2015,Swaziland,SWZ,35582.6356,23521.78,66%
2015,YR2015,Sweden,SWE,1276695.536,679811.9,53%
2015,YR2015,Switzerland,CHE,772440.4003,195365.5,25%
2015,YR2015,Syrian Arab Republic,SYR,249253.9786,1299,1%
2015,YR2015,"Taiwan, China",TWN,1966531.084,41598.43,2%
2015,YR2015,Tajikistan,TJK,98813.96471,44129.53,45%
2015,YR2015,Tanzania,TZA,938634.1703,804531.9,86%
2015,YR2015,Thailand,THA,3157978.766,722010.9,23%
2015,YR2015,Timor-Leste,TLS,4862.325,886.095,18%
2015,YR2015,Togo,TGO,92564.45395,65965.75,71%
2015,YR2015,Tonga,TON,1264.108525,23.7621,2%
2015,YR2015,Trinidad and Tobago,TTO,171888.0692,488.5158,0%
2015,YR2015,Tunisia,TUN,318320.6874,39988.56,13%
2015,YR2015,Turkey,TUR,3629552.495,485424.7,13%
2015,YR2015,Turkmenistan,TKM,753232.8691,307.981,0%
2015,YR2015,Turks and Caicos Islands,TCA,1185.422585,6.782585,1%
2015,YR2015,Tuvalu,TUV,88.266,0,0%
2015,YR2015,Uganda,UGA,528879.2358,471009,89%
2015,YR2015,Ukraine,UKR,1989251.047,82440.89,4%
2015,YR2015,United Arab Emirates,ARE,2093160.892,2869.892,0%
2015,YR2015,United Kingdom,GBR,4926228.068,429157.5,9%
2015,YR2015,United States,USA,58483061.91,5097931,9%
2015,YR2015,Uruguay,URY,184450.9394,107022.2,58%
2015,YR2015,Uzbekistan,UZB,1169202.042,34727.39,3%
2015,YR2015,Vanuatu,VUT,2418.6033,873.3834,36%
2015,YR2015,"Venezuela, RB",VEN,1522150.873,195468.2,13%
2015,YR2015,Vietnam,VNM,2286349.139,800189.5,35%
2015,YR2015,Virgin Islands (U.S.),VIR,2359.8,91.50184,4%
2015,YR2015,West Bank and Gaza,PSE,63990.57,6701.55,10%
2015,YR2015,Western Sahara,ESH,0,0,#DIV/0!
2015,YR2015,"Yemen, Rep.",YEM,106887.3293,2433.201,2%
2015,YR2015,Zambia,ZMB,342874.6366,301679.8,88%
2015,YR2015,Zimbabwe,ZWE,396615.2709,324422.6,82%
,,,,,,
,,,,,,
,,,,,,
Data from database: Sustainable Energy for All,,,,,,
Last Updated: 06/30/2018,,,,,,
