Time_x,Time Code_x,Country Name_x,Country Code_x,GDP (current US$) [NY.GDP.MKTP.CD],Country,Time_y,Time Code_y,Country Name_y,Country Code_y,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage
2015,YR2015,Curacao,CUW,3058779217.87709,curacao,2015,YR2015,Curacao,CUW,24714.21985,85.94772,0%
2015,YR2015,Cyprus,CYP,19909269064.1204,cyprus,2015,YR2015,Cyprus,CYP,58918.65926,5857.732,10%
2015,YR2015,Denmark,DNK,302673070846.857,denmark,2015,YR2015,Denmark,DNK,546907.7001,181410.8,33%
2015,YR2015,Djibouti,DJI,2424391785.43897,djibouti,2015,YR2015,Djibouti,DJI,4947.13949,760.8995,15%
2015,YR2015,Dominica,DMA,540737037.037037,dominica,2015,YR2015,Dominica,DMA,1495.08353,117.062,8%
2015,YR2015,Dominican Republic,DOM,71164826836.5281,dominican republic,2015,YR2015,Dominican Republic,DOM,226654.9301,37352.98,16%
2015,YR2015,Ecuador,ECU,97209558000,ecuador,2015,YR2015,Ecuador,ECU,494684.1108,68348.95,14%
2015,YR2015,"Egypt, Arab Rep.",EGY,329366576819.407,"egypt, arab rep.",2015,YR2015,"Egypt, Arab Rep.",EGY,2086104.92,119103.6,6%
2015,YR2015,El Salvador,SLV,23438240000,el salvador,2015,YR2015,El Salvador,SLV,103161.6216,25172.23,24%
2015,YR2015,Equatorial Guinea,GNQ,13185496881.0174,equatorial guinea,2015,YR2015,Equatorial Guinea,GNQ,67460.502,5277.3,8%
2015,YR2015,Eritrea,ERI,..,eritrea,2015,YR2015,Eritrea,ERI,23499.50357,18744.96,80%
2015,YR2015,Estonia,EST,22890762090.1508,estonia,2015,YR2015,Estonia,EST,114898.9386,31570.59,27%
2015,YR2015,Ethiopia,ETH,64589328550.5953,ethiopia,2015,YR2015,Ethiopia,ETH,1708132.464,1574274.0,92%
2015,YR2015,Fiji,FJI,4682479893.97558,fiji,2015,YR2015,Fiji,FJI,23961.88165,7491.43,31%
2015,YR2015,Finland,FIN,234534382384.766,finland,2015,YR2015,Finland,FIN,967638.8553,418361.2,43%
2015,YR2015,France,FRA,2439188643162.5,france,2015,YR2015,France,FRA,5632162.574,760300.4,13%
2015,YR2015,French Polynesia,PYF,5325846361.81186,french polynesia,2015,YR2015,French Polynesia,PYF,7795.24708,766.2069,10%
2015,YR2015,Gabon,GAB,14383107762.6952,gabon,2015,YR2015,Gabon,GAB,197755.9618,162175.4,82%
2015,YR2015,"Gambia, The",GMB,1378176608.93204,"gambia, the",2015,YR2015,"Gambia, The",GMB,10206.03008,5257.01,52%
2015,YR2015,Georgia,GEO,15223796148.8396,georgia,2015,YR2015,Georgia,GEO,157678.7399,45194.73,29%
2015,YR2015,Germany,DEU,3357585719351.56,germany,2015,YR2015,Germany,DEU,8327614.785,1183042.0,14%
2015,YR2015,Ghana,GHA,49406010054.2663,ghana,2015,YR2015,Ghana,GHA,283139.5513,117256.0,41%
2015,YR2015,Gibraltar,GIB,..,gibraltar,2015,YR2015,Gibraltar,GIB,6422.718672,0.0,0%
2015,YR2015,Greece,GRC,195683527003.375,greece,2015,YR2015,Greece,GRC,656633.0099,112744.2,17%
2015,YR2015,Greenland,GRL,2499113022.81675,greenland,2015,YR2015,Greenland,GRL,7981.35474,1239.809,16%
2015,YR2015,Grenada,GRD,997007407.407407,grenada,2015,YR2015,Grenada,GRD,2876.050414,314.0524,11%
2015,YR2015,Guam,GUM,5799000000,guam,2015,YR2015,Guam,GUM,5619.6,0.0,0%
2015,YR2015,Guatemala,GTM,62186064718.7424,guatemala,2015,YR2015,Guatemala,GTM,429959.3648,273673.4,64%
2015,YR2015,Guinea,GIN,8794202394.29076,guinea,2015,YR2015,Guinea,GIN,137987.0457,105240.5,76%
2015,YR2015,Guinea-Bissau,GNB,1152384166.79638,guinea-bissau,2015,YR2015,Guinea-Bissau,GNB,27257.4105,23673.55,87%
